R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
58,80,47,58,70,47,250,0,0,0,0,0,2147483648,10000000,0.000100,0.003000,50,0,0,0,0,0,0,0,0,0.995,0,0,0,0,0,0
sysTickMs,PIDRefXi,PIDRefYi,PIDSensXi,PIDSensYi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDUXi,PIDRefDotPT1Xi,PIDiRelaxWeightX
14876,0,-12288,97280,360448,-22040,-5584,1193,-28817,0,1024
14881,0,-12288,89088,359424,-20184,-6100,-13988,-12296,0,1024
14886,0,-12288,84992,303104,-19256,-6607,-25141,-722,0,1024
14891,0,-12288,128000,171008,-29000,-7188,-5933,-30255,0,1024
14896,0,-12288,154624,187392,-35032,-7828,4842,-47702,0,1024
14901,0,-12288,221184,128000,-50112,-8368,54332,-112812,0,1024
14906,0,-15360,242688,82944,-54984,-8859,76524,-140367,0,1024
14911,0,-15360,187392,91136,-42456,-9398,40321,-92175,0,1024
14916,0,-15360,131072,81920,-29696,-9841,5358,-44895,0,1024
14921,0,-15360,132096,117760,-29928,-10230,14985,-55143,0,1024
14926,0,-15360,130048,161792,-29464,-10606,22329,-62399,0,1024
14931,0,-15360,109568,157696,-24824,-10929,13379,-49132,0,1024
