R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000000,0.000300,75,250,1,250,1,50,500,0,0
sysTime,GPT1X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R
387.364,40.994,-0.566,-0.115,1.158,1.176,0.187
387.374,43.073,-0.303,-0.146,1.638,1.656,0.612
387.384,41.184,-0.915,-0.208,1.998,2.027,1.032
387.394,37.085,-0.725,-0.274,2.306,2.326,1.425
387.405,35.865,-0.117,-0.273,2.639,2.636,1.784
387.415,33.516,-0.507,-0.286,2.928,2.924,2.131
387.425,27.504,-1.103,-0.367,3.086,3.078,2.428
387.435,19.040,-0.699,-0.411,3.101,3.080,2.648
387.446,10.744,-0.463,-0.428,3.036,3.014,2.791
387.456,2.049,-0.157,-0.410,2.866,2.840,2.840
387.466,-7.448,-0.439,-0.405,2.573,2.558,2.799
387.476,-18.033,-0.674,-0.442,2.163,2.152,2.656
387.486,-25.848,-0.764,-0.471,1.737,1.725,2.421
387.497,-32.029,-1.084,-0.515,1.269,1.267,2.114
387.507,-39.636,0.128,-0.496,0.708,0.689,1.732
387.517,-47.164,-0.037,-0.436,0.049,0.037,1.276
387.527,-54.923,0.710,-0.360,-0.681,-0.700,0.743
387.537,-61.376,0.251,-0.266,-1.451,-1.457,0.147
387.547,-64.728,0.199,-0.240,-2.184,-2.183,-0.499
387.558,-65.374,-0.348,-0.201,-2.878,-2.868,-1.173
387.568,-62.755,-0.277,-0.213,-3.442,-3.445,-1.823
387.578,-58.251,1.416,-0.090,-3.889,-3.946,-2.432
387.588,-52.752,1.078,0.028,-4.322,-4.373,-2.992
387.599,-40.858,-1.350,-0.036,-4.510,-4.528,-3.459
387.609,-28.588,-0.029,-0.097,-4.495,-4.557,-3.798
387.619,-15.986,0.190,-0.082,-4.357,-4.428,-4.001
387.629,-0.417,-0.146,-0.060,-4.042,-4.109,-4.069
387.640,14.054,-0.008,-0.078,-3.586,-3.658,-3.982
387.650,28.844,-0.604,-0.088,-2.981,-3.044,-3.745
387.660,44.433,0.053,-0.134,-2.187,-2.259,-3.352
387.670,60.262,-0.158,-0.114,-1.245,-1.311,-2.802
387.680,74.090,-0.582,-0.191,-0.191,-0.246,-2.097
387.691,84.267,0.143,-0.188,0.887,0.821,-1.279
387.701,90.387,-0.665,-0.210,1.940,1.888,-0.375
387.711,91.306,-1.050,-0.326,2.890,2.840,0.552
387.721,91.260,-0.107,-0.346,3.837,3.768,1.485
387.732,88.470,-1.436,-0.421,4.672,4.620,2.399
387.742,79.218,-0.591,-0.482,5.299,5.233,3.244
387.752,70.232,-0.199,-0.456,5.817,5.753,3.991
387.762,54.214,-0.578,-0.473,6.006,5.956,4.602
387.773,36.293,-1.048,-0.509,5.963,5.916,5.039
387.783,16.719,-1.253,-0.587,5.710,5.672,5.286
387.793,-4.403,-0.251,-0.568,5.208,5.157,5.315
387.803,-23.092,-0.763,-0.577,4.547,4.506,5.141
387.813,-40.963,-0.515,-0.572,3.735,3.691,4.783
387.824,-55.195,-0.085,-0.551,2.849,2.792,4.260
387.834,-73.706,0.122,-0.454,1.715,1.634,3.580
387.844,-85.171,-1.885,-0.525,0.557,0.499,2.739
387.854,-88.461,-1.601,-0.634,-0.422,-0.486,1.836
387.864,-91.234,-0.237,-0.649,-1.401,-1.480,0.911
387.875,-94.940,0.231,-0.576,-2.427,-2.523,-0.040
387.885,-93.456,0.447,-0.506,-3.391,-3.498,-1.031
387.895,-86.811,-2.295,-0.560,-4.143,-4.216,-1.945
387.905,-74.685,-1.621,-0.683,-4.621,-4.711,-2.761
387.916,-61.157,-0.278,-0.678,-4.928,-5.034,-3.440
387.926,-45.858,0.421,-0.557,-5.071,-5.185,-3.974
387.936,-24.533,-0.499,-0.531,-4.857,-4.968,-4.311
387.946,-5.394,0.134,-0.472,-4.457,-4.584,-4.430
387.957,13.116,-0.155,-0.429,-3.931,-4.059,-4.369
387.967,32.576,-0.286,-0.396,-3.164,-3.289,-4.106
387.977,51.211,-0.808,-0.448,-2.254,-2.371,-3.659
387.987,67.769,0.448,-0.398,-1.163,-1.296,-3.019
387.998,78.884,-0.177,-0.337,-0.096,-0.213,-2.245
388.008,86.910,-0.220,-0.343,0.954,0.841,-1.391
388.018,90.384,0.601,-0.285,1.953,1.836,-0.482
388.028,92.077,-0.368,-0.233,2.896,2.803,0.447
388.038,93.294,-1.495,-0.323,3.848,3.779,1.388
