R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
35,1,25,35,1,25,200,0,0,0,0,0,2147483648,10000000,10.0,64.0,0.000100,0.003000,50,
sysTickMs,GRawXi,PIDdtick,PIDRefXi,PIDRefZi,PIDSensXi,PIDSensZi,PIDPoutXi,PIDIoutXi,PIDDoutXi
10680,-18.738,5250,0,32768,-126976,17408,8680,-64,7882
10685,-10.559,5250,0,32768,199680,-64512,-13650,-66,1840
10690,-23.254,5250,0,32768,-95232,49152,6510,-65,1840
10695,38.879,5250,0,32768,130048,-78848,-8890,-68,5218
10700,-25.818,5250,0,32768,-39936,44032,2730,-64,5218
10705,81.604,5250,0,32768,-2048,-54272,140,-69,5218
10710,-34.241,5250,0,32768,6144,8192,-420,-64,5218
10715,52.795,5250,0,32768,-194560,68608,13300,-67,-10245
10720,-74.158,5250,0,32768,142336,-84992,-9730,-64,-10245
10725,-5.676,5250,0,32768,-207872,123904,14210,-67,-10245
10730,-16.785,5250,0,32768,253952,-178176,-17360,-69,6508
