R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,50,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,aRawR,aRawP,aPT2R,aPT2P,aKFPT21R,aKFPT21P
133.188,-4.921,11.700,-2.714,0.161,-8.175,-0.970
133.198,-2.357,72.011,-2.673,1.141,-8.152,-0.863
133.209,-68.548,10.387,-2.738,1.519,-8.098,-0.737
133.219,9.681,-69.800,-2.442,0.355,-8.001,-0.668
133.230,82.371,-4.593,-0.857,-0.791,-7.821,-0.674
133.240,10.128,4.538,0.463,-1.105,-7.535,-0.730
133.251,-19.872,-7.922,0.591,-1.436,-7.177,-0.806
133.261,-53.702,32.715,0.509,-1.368,-6.829,-0.906
133.272,-33.397,-10.607,0.379,-1.152,-6.483,-1.002
133.282,14.802,37.806,0.522,-0.411,-6.128,-1.101
133.292,-7.261,68.166,0.798,0.808,-5.750,-1.182
133.303,-28.822,-29.997,0.752,0.894,-5.366,-1.205
133.314,33.870,-53.246,1.213,-0.462,-5.000,-1.277
133.324,50.127,-34.488,2.485,-1.855,-4.623,-1.413
133.334,19.480,-28.553,3.485,-3.129,-4.177,-1.617
133.345,-6.695,50.877,3.913,-2.999,-3.689,-1.853
133.355,-57.766,1.740,2.563,-1.929,-3.271,-2.050
133.366,-9.335,-38.850,1.565,-1.480,-2.944,-2.239
133.376,41.847,29.120,1.733,-0.893,-2.642,-2.443
133.387,12.428,-1.453,2.139,-0.397,-2.332,-2.633
133.397,39.393,24.385,2.591,0.057,-1.974,-2.833
133.407,-25.760,-29.274,2.808,0.305,-1.636,-3.043
