R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
35,20,20,45,5,25,350,10,0,0,0,0,35,200,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,3000,300,300,100,25,25
sysTime,GRawXi,GPT1Xi133,GPT1Xi200,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ
146.874,-4,0,1,0.000,-0.446,0.000,-1.684,0.904,2.609
146.881,1,0,1,0.000,-0.446,0.000,-2.085,-0.691,2.502
146.887,10,0,1,0.000,-0.446,0.000,-0.930,-0.322,0.806
146.893,20,0,0,0.000,-0.446,0.000,-0.857,-0.090,0.008
146.899,19,-1,-2,0.000,-0.446,0.000,-1.487,-0.958,-2.105
146.905,20,-1,-1,0.000,-0.446,0.000,-3.342,1.064,-3.425
146.911,9,-1,-1,0.000,-0.446,0.000,-3.588,1.538,-3.035
146.917,-7,-1,-2,0.000,-0.446,0.000,-1.075,0.367,-1.118
146.923,-7,0,-1,0.000,-0.446,0.000,-0.897,0.137,-0.122
146.929,-3,-1,-2,0.000,-0.446,0.000,-0.149,0.215,1.287
146.935,-6,-1,-2,0.000,-0.446,0.000,0.456,0.499,1.082
146.941,14,0,0,0.000,-0.446,0.000,-1.818,2.844,0.035
146.947,19,0,1,0.000,-0.446,0.000,-4.370,4.750,-1.642
146.953,20,1,1,0.000,-0.446,0.000,-6.527,7.925,-1.548
146.960,11,0,0,0.000,-0.446,0.000,-8.329,11.485,-1.885
