R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,20,100,5,100,5,50,175,0,0,0.995
sysTime,GPT1X,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R
252.969,-13.434,-2.674,-1.059,0.590,0.944,-2.217,-0.448
252.980,-11.729,-3.140,-1.236,0.488,0.786,-2.580,-0.580
252.991,-13.169,-3.383,-1.511,0.276,0.613,-3.008,-0.824
253.002,-17.092,-3.531,-1.839,-0.029,0.408,-3.391,-1.157
253.013,-20.110,-3.821,-2.140,-0.329,0.171,-3.694,-1.483
253.024,-19.982,-3.475,-2.336,-0.563,-0.074,-3.796,-1.735
253.035,-18.521,-3.046,-2.486,-0.756,-0.305,-3.838,-1.942
253.046,-18.512,-2.771,-2.732,-0.995,-0.536,-4.083,-2.187
253.057,-17.275,-2.296,-2.897,-1.192,-0.751,-4.149,-2.381
253.068,-16.258,-1.684,-3.057,-1.381,-0.953,-4.210,-2.555
253.079,-13.700,-1.523,-3.160,-1.494,-1.126,-4.248,-2.642
253.090,-12.404,-1.335,-3.258,-1.609,-1.272,-4.261,-2.723
253.101,-12.829,-1.310,-3.398,-1.753,-1.411,-4.343,-2.828
253.112,-11.350,-1.928,-3.560,-1.867,-1.551,-4.567,-2.908
253.123,-8.347,-2.583,-3.646,-1.896,-1.656,-4.750,-2.916
253.134,-6.978,-2.444,-3.689,-1.963,-1.748,-4.701,-2.965
